Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Libellé Budget;Agrégat;Montant BP;Montant BA;Montant flux BP-BA;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300316;Bordeaux Métropole;10;Non;Non;Oui;3;Oui;33063;Bordeaux;Commune;213300635;33063;BORDEAUX;Dépenses d'équipement;109202950.59;0.0;0.0;109202950.59;109.20295059;265255;411.69045103768076;1;;;;;;;;2;;;2024;265255
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301454;Communauté de communes Castillon/Pujols;0;Oui;Non;Non;1;Non;33064;Bossugan;Commune;213300643;33064;BOSSUGAN;Dépenses d'équipement;9019.53;0.0;0.0;9019.53;0.009019530000000001;43;209.756511627907;1;;;;;;;;2;;;2024;43
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300316;Bordeaux Métropole;5;Non;Non;Non;4;Non;33065;Bouliac;Commune;213300650;33065;BOULIAC;Dépenses d'équipement;2061835.76;0.0;0.0;2061835.76;2.06183576;3848;535.820103950104;1;;;;;;;;2;;;2024;3848
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200044394;Communauté de communes du Réolais en Sud Gironde;0;Oui;Non;Non;1;Non;33066;Bourdelles;Commune;213300668;33066;BOURDELLES;Dépenses d'équipement;14937.73;0.0;0.0;14937.73;0.01493773;97;153.99721649484536;1;;;;;;;;2;;;2024;97
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301223;Communauté de communes du Grand Cubzaguais;4;Non;Non;Non;1;Non;33067;Bourg;Commune;213300676;33067;BOURG;Dépenses d'équipement;269299.34;10966.0;0.0;280265.34;0.28026534000000003;2312;121.22203287197233;1;;;;;;;;2;;;2024;2312
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200043974;Communauté de communes du Sud Gironde;1;Oui;Non;Non;1;Non;33068;Bourideys;Commune;213300684;33068;BOURIDEYS;Dépenses d'équipement;76419.03;0.0;0.0;76419.03;0.07641903;102;749.2061764705883;1;;;;;;;;2;;;2024;102
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300316;Bordeaux Métropole;8;Non;Non;Non;4;Oui;33069;Le Bouscat;Commune;213300692;33069;LE BOUSCAT;Dépenses d'équipement;7934121.22;0.0;0.0;7934121.22;7.93412122;24640;322.0016728896104;1;;;;;;;;2;;;2024;24640
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301389;Communauté de communes Médullienne;3;Oui;Non;Non;1;Non;33070;Brach;Commune;213300700;33070;BRACH;Dépenses d'équipement;174448.09;15321.0;0.0;189769.09;0.18976909;863;219.8946581691773;1;;;;;;;;2;;;2024;863
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301454;Communauté de communes Castillon/Pujols;3;Non;Non;Non;1;Non;33071;Branne;Commune;213300718;33071;BRANNE;Dépenses d'équipement;277952.85;0.0;0.0;277952.85;0.27795285;1326;209.61753393665157;1;;;;;;;;2;;;2024;1326
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200044394;Communauté de communes du Réolais en Sud Gironde;2;Oui;Non;Non;1;Non;33072;Brannens;Commune;213300726;33072;BRANNENS;Dépenses d'équipement;26787.22;0.0;0.0;26787.22;0.02678722;244;109.78368852459018;1;;;;;;;;2;;;2024;244
